Company,CTC,FTEOffers
Adobe,5,49
Aditya Birla group1,1,7
Airtel Payments Bank,6,14.75
Alstom,7,6.8
Amazon (sde),4,46
American Express,16,18.5
Arcesium,0,35.5
Atlassian,3,38.4
Barclays,3,13.32
Barco Electronics,0,13
Becton Dickinson,1,7
Bechtel,1,6.8
BNY Mellon,7,21
Cisco,17,24.7
Citi India,24,18
Citrix,3,23.36
Deloitte,12,7.6
Deutsche Bank,6,19.63
Disney+ Hotstar,2,32
EXL,1,6.5
Ericsson,2,7.5
Expedia,20,36.03
Flipkart,3,32
Fidelity,1,8
Fractal Analytics,3,13.5
Goldman Sachs,7,24
Google (Software),14,30.36
HeroMotoCorp,3,8.5
Infoedge,1,14.5
ITC Ltd.,3,12
Intuit,2,42.33
JPMC,17,17.75
Jubilant Foodworks,3,18
McDermott,1,6
LinkedIn,3,30.46
Loadshare Networks,4,17
Lowe's,12,21.25
Maruti Suzuki,1,8.88
Mckinsey (Btech),1,12
Mckinsey (MCA Mtech),6,12
Microsoft,37,51
Mercedes Benz,1,8
Morgan Stanley,4,29.48
Myntra,1,27
NXP Semiconductors (hardware),1,20
Nokia,2,8.2
Optum,29,14.49
Oracle India,16,18
Palo Alto,12,39.81
PayU,1,16.5
PhonePe,4,16.55
ProvIdence,3,27
Publicls Sapient,2,20.63
PureStoroge,2,27
PwC,2,9
Samsung0,4,20
SAP,11,24.5
Schneider Electric,3,9
ServiceNow,7,33.59
Societe Generale,2,14.96
Synopsys,4,22.78
TCS,1,3.5
TVS Motors,1,8
Titan (MAE),3,5
Twili0,3,46
Technip Energies,6,6.91
Uber,3,38
UKG (Ultimate Kronos Group),6,15.5
Urban Company,2,32
Visa,14,28.54
Walmart,8,25.67
Wells Fargo,33,24
Western Digital,2,20.5
Wooqer,1,15
Zomato,1,20
