Company,CTC,FTEOffers
Microsoft,51,41
Amazon,46,12
Google,30.36,13
Wells Fargo,24,25
Visa,28.54,12
Goldman Sachs,24,6
Expedia,36.03,19
Palo Alto Networks,39.81,8
ServiceNow,33.59,6
Optum,14.49,20
Citi Bank,18,18
Adobe,45.99,4
American Express,18.05,14
BNY Mellon,21,6
Lowe's,20.25,13
Oracle,17.97,9
Deloitte,7.6,7
SAP,24.5,8
HeroMotoCorp,8.5,4
Fractal Analytics,13.5,2
PhonePe,16.55,5
TechnipFMC,6.91,4
Alstom,6.8,7
ITC Ltd.,12,3
Urban Company,32,2
Pure Storage,27,2
JPMC,17.75,4
Barclays,13.32,2
Ericsson,7.5,3
Uber,64,1
ZS Associates,5,1
Societe Generale,14.96,1
Titan,5,1
TCS,3.5,1
Maruti Suzuki,8.88,1
Schneider Electric,9,2
Mercedes Benz,8,2
HeroMotoCorp,8.5,2
