Company,Stipend,TotalOffers
Adobe,100000,22
Air Traffic Control,,1
Amazon,110000,11
American Express,85000,5
AQR,150000,1
Arcesium,125000,2
Atlassian,130000,2
Barclays,104803,3
Bechtel,25000,2
Beckton Dickinson,20000,3
Twilio,101250,5
Bharat Electronics Limited,,1
BNY Mellon,75000,15
Uber,177000,3
Visa,90000,8
Walmart,100000,2
Cars24,10000,1
Citi Bank,75000,13
UnifyApps,50000,1
Deutsche Bank,75000,2
Expedia Group,35000,8
Flipkart (offcampus),100000,1
Goldman Sachs,100000,7
Google,114000,7
HAL Management Academy,NA,1
HCL(offcampus),Unpaid,1
Hero MotoCorp,12000,2
IBM,30000,6
IIIT Delhi,5000,1
Intuit,100000,3
ISRO,0,1
ITC Ltd.,50000,1
Urban Company,50000,4
JPMC,75000,4
LinkedIn,80000,7
Marvell,35000,2
Microsoft,125000,38
Ministry of forest and wildlife,,1
Mitacs Globalink Research Internship,,1
Morgan Stanley,87000,5
Motorq,160000,3
My Analytical School,12000,1
Outlook,12000,53
Wells Fargo,,20
Outlook publishing India pvt ltd,12000,13
Paypal,100000,1
Providence,40000,8
Regeneron,70000,5
S&P Global,30000,1
Salesforce,150000,11
Western Digital,35000,4
SAP Labs,35000,8
ServiceNow,70000,8
Steel Authority of India (SAIL),0,1
Synopsis,30000,1
TATA 1mg,15000,1
Technip Energies,12000,6
TVS Motors,25000,2
