Company,CTC,FTEOffers
Adobe,49,5
Aditya Birla group1,7,1
Airtel Payments Bank,14.75,6
Alstom,6.8,7
Amazon (sde),46,4
American Express,18.5,16
Arcesium,35.5,0
Atlassian,38.4,3
Barclays,13.32,3
Barco Electronics,13,0
Becton Dickinson,7,1
Bechtel,6.8,1
BNY Mellon,21,7
Cisco,24.7,17
Citi India,18,24
Citrix,23.36,3
Deloitte,7.6,12
Deutsche Bank,19.63,6
Disney+ Hotstar,32,2
EXL,6.5,1
Ericsson,7.5,2
Expedia,36.03,20
Flipkart,32,3
Fidelity,8,1
Fractal Analytics,13.5,3
Goldman Sachs,24,7
Google (Software),30.36,14
HeroMotoCorp,8.5,3
Infoedge,14.5,1
ITC Ltd.,12,3
Intuit,42.33,2
JPMC,17.75,17
Jubilant Foodworks,18,3
McDermott,6,1
LinkedIn,30.46,3
Loadshare Networks,17,4
Lowe's,21.25,12
Maruti Suzuki,8.88,1
Mckinsey (Btech),12,1
Mckinsey (MCA Mtech),12,6
Microsoft,51,37
Mercedes Benz,8,1
Morgan Stanley,29.48,4
Myntra,27,1
NXP Semiconductors (hardware),20,1
Nokia,8.2,2
Optum,14.49,29
Oracle India,18,16
Palo Alto,39.81,12
PayU,16.5,1
PhonePe,16.55,4
Providence,27,3
Publicls Sapient,20.63,2
PureStorage,27,2
PwC,9,2
Samsung,20,4
SAP,24.5,11
Schneider Electric,9,3
ServiceNow,33.59,7
Societe Generale,14.96,2
Synopsys,22.78,4
TCS,3.5,1
TVS Motors,8,1
Titan (MAE),5,3
Twilio,46,3
Technip Energies,6.91,6
Uber,38,3
UKG (Ultimate Kronos Group),15.5,6
Urban Company,32,2
Visa,28.54,14
Walmart,25.67,8
Wells Fargo,24,33
Western Digital,20.5,2
Wooqer,15,1
Zomato,20,1
